Teams,Shots_pg,Tackles_pg,Interceptions_pg,Fouls_pg,Offsides_pg
1. Sevilla,13.2,18.3,8.2,12.6,2
2. Real Betis,11.8,18.2,9.1,11.3,1.9
3. Mallorca,12.6,18.1,9.6,14.9,2.7
4. Cadiz,13.4,17.7,7.8,15.2,2.4
5. Las Palmas,11.6,17.4,7.4,10.8,2.4
6. Valencia,10.9,17.3,8.5,12.7,1.8
7. Atletico Madrid,11.9,17.2,6.7,11.5,3.2
8. Real Sociedad,10.4,17.1,6.7,15.9,2.4
9. Granada,13,16.8,7.4,13.5,2
10. Almeria,15.6,16.7,8.2,12.6,2
11. Rayo Vallecano,11.7,16.6,8.1,14.8,2.5
12. Celta Vigo,12.6,16.5,7.8,12.2,1.7
13. Getafe,12,16,8.1,17.1,2.1
14. Athletic Club,10.8,15.3,7.3,13.4,2.1
15. Deportivo Alaves,11.9,15.2,7.3,12.7,1.8
16. Villarreal,15.4,15.2,8,12.8,2.4
17. Barcelona,10.9,15,6.8,10.8,2.6
18. Real Madrid,10.3,14.7,7.8,9.7,2.1
19. Girona,13.4,14.3,6.8,10.7,2.5
20. Osasuna,11.5,13.8,6.9,13.6,1.8
