Teams,Open_Play,Counter_Attack,Set_Piece,Penalty,Own_Goal
Real Madrid,65,8,10,2,2
Girona,64,2,11,7,1
Barcelona,57,2,11,6,3
Atletico Madrid,52,6,5,5,2
Athletic Club,44,3,9,3,2
Villarreal,41,6,12,5,1
Real Betis,32,3,9,2,2
Almeria,31,5,4,2,1
Valencia,28,2,1,8,1
Real Sociedad,28,4,12,4,3
Getafe,28,1,7,6,0
Celta Vigo,28,7,7,3,1
Osasuna,26,1,14,4,0
Sevilla,26,5,13,2,2
Las Palmas,22,2,6,3,0
Granada,21,3,6,5,3
Mallorca,17,0,15,1,0
Deportivo Alaves,17,5,8,3,3
Cadiz,15,0,7,3,1
Rayo Vallecano,14,1,8,6,0
