Teams,xG,Goals,xG_Diff,Shots,xG_shots
1. Barcelona,81.71,76,-5.71,595,0.14
2. Real Madrid,76.06,85,8.94,598,0.13
3. Girona,75.82,84,8.18,484,0.16
4. Atletico Madrid,66.71,68,1.29,480,0.14
5. Villarreal,60.54,64,3.46,469,0.13
6. Athletic Club,59.4,59,-0.4,463,0.13
7. Celta Vigo,55.8,45,-10.8,472,0.12
8. Sevilla,53.44,46,-7.44,489,0.11
9. Almeria,53.09,42,-11.09,480,0.11
10. Deportivo Alaves,52.3,33,-19.3,465,0.11
11. Real Betis,50.25,46,-4.25,492,0.1
12. Getafe,50.07,42,-8.07,453,0.11
13. Real Sociedad,49.24,48,-1.24,461,0.11
14. Osasuna,47.53,45,-2.53,425,0.11
15. Granada,46.14,35,-11.14,402,0.11
16. Valencia,45.81,39,-6.81,377,0.12
17. Rayo Vallecano,45.41,29,-16.41,493,0.09
18. Mallorca,43.99,33,-10.99,418,0.11
19. Cadiz,39.85,25,-14.85,398,0.1
20. Las Palmas,36.64,33,-3.64,391,0.09
