Teams,Cross_pg,Through_Ball_pg,Long_Ball_pg,Short_Passes_pg
Real Madrid,16,2,44,570
Barcelona,17,3,43,570
Las Palmas,15,2,47,519
Girona,18,1,45,496
Atletico Madrid,17,2,50,459
Real Sociedad,18,1,51,415
Real Betis,17,1,51,411
Villarreal,16,2,51,405
Athletic Club,22,2,58,390
Sevilla,25,1,61,382
Celta Vigo,17,2,53,376
Rayo Vallecano,18,1,64,353
Osasuna,21,1,67,344
Almeria,17,1,57,341
Valencia,16,1,60,328
Granada,18,1,62,318
Mallorca,20,1,65,305
Getafe,18,1,76,284
Cadiz,21,1,70,283
Deportivo Alaves,22,1,62,265
