Teams,Goals,Shots,Yellow Cards,Red Crads,Possesion,Pass,Aerials Won,Rating
1. Real Madrid,87,15.7,67,4,59.3,90.1,8.9,6.93
2. Barcelona,79,15.7,85,2,64.7,88.6,12,6.82
3. Girona,85,12.7,75,1,57.1,87.9,10.1,6.75
4. Atletico Madrid,70,12.7,82,5,50.8,84.6,11.4,6.70
5. Athletic Club,61,12.2,75,5,49.4,79.6,14.4,6.67
6. Real Betis,48,12.9,85,3,50.1,83.0,12.9,6.65
7. Real Sociedad,51,12.1,98,2,55.5,82.0,20.3,6.64
8. Sevilla,48,12.9,108,4,50.0,81.5,16.3,6.62
9. Villarreal,65,12.3,102,8,49.3,84.2,12.7,6.62
10. Celta Vigo,46,12.4,62,5,45.8,80.2,14.1,6.56
11. Mallorca,33,11,101,4,44.5,75.7,20.8,6.55
12. Valencia,40,9.9,60,5,43.6,77.0,13,6.55
13. Deportivo Alaves,36,12.2,84,1,40.7,73.9,15.4,6.53
14. Osasuna,45,11.2,76,5,47.3,77.0,20.2,6.51
15. Getafe,42,11.9,126,10,44.4,72.6,17.8,6.51
16. Las Palmas,33,10.3,80,5,59.7,85.4,10.8,6.51
17. Rayo Vallecano,29,13,101,5,49.4,78.2,13.7,6.47
18. Almeria,43,12.6,85,6,46.0,79.4,15,6.47
19. Cadiz,26,10.5,107,7,42.7,74.3,16.9,6.44
20. Granada,38,10.6,96,4,45.0,77.6,12.9,6.39
