Teams,Own_Third,Middle_Third,Final_Third
Villarreal,32%,41%,27%
Granada,31%,43%,26%
Girona,31%,43%,27%
Almeria,31%,45%,24%
Cadiz,30%,43%,28%
Mallorca,29%,46%,26%
Deportivo Alaves,29%,43%,29%
Valencia,29%,44%,27%
Atletico Madrid,29%,44%,26%
Las Palmas,29%,46%,25%
Real Betis,28%,44%,29%
Sevilla,28%,42%,29%
Rayo Vallecano,28%,43%,28%
Celta Vigo,28%,45%,27%
Osasuna,26%,44%,30%
Real Madrid,25%,43%,31%
Real Sociedad,25%,45%,30%
Barcelona,25%,44%,31%
Getafe,24%,44%,31%
Athletic Club,23%,43%,33%
